WRONG_SUM! 17/01 14:20:10 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:10 SUM: 26  	b'\x03\xdaA\x06\x00S\xf5\xc9\x00\xc7\x9a@\xa6h\x02\x00'
WRONG_SUM! 17/01 14:20:10 SUM: 246  	b'\xc7\x80@xw\xbe\x9c\xfa\x1c\xdb\xa0\x9c\xb9\xe8$\xf2\xa0\xc4\xb6<\x00'
WRONG_SUM! 17/01 14:20:10 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:10 SUM: 210  	b'\xc7\x80@~\x16\xf9\x0e\x0c\x00'
WRONG_SUM! 17/01 14:20:10 SUM: 71  	b'\x03\x9a\xff\x1d\x00'
WRONG_SUM! 17/01 14:20:10 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:10 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:20:10 SUM: 125  	b'\xce\x8fo\xe6\xcb\xa9\xb4\xf6?j\xf6\xe7\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:10 SUM: 242  	b'\x8et\x03\xdf\xd7\x01\xdbW{\xc2\xd7\xbf\xf69\x8a\xf6o\x1a\xf6\x1f\x00'
WRONG_SUM! 17/01 14:20:10 SUM: 242  	b'\xce\xbc\x03\xbao\x0e\xfa9\x0e\xfa\x0f\x00'
WRONG_SUM! 17/01 14:20:10 SUM: 30  	b'\xceB\xfe\xd4\x00'
WRONG_SUM! 17/01 14:20:10 SUM: 36  	b'sm\xfc\x00'
WRONG_SUM! 17/01 14:20:10 SUM: 105  	b'\xc2\x9a8\x03\x00'
WRONG_SUM! 17/01 14:20:11 SUM: 73  	b'3\x00(\xce\xc5qo2T\xdc\xae\x04\xdc\xde4\xdc\xae\x14\x1c\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:11 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
